17x17 4 4
0	0	0	0	10	10	10	10	14	14	10	10	10	10	12	12	12	
0	16	16	16	10	17	17	10	18	18	10	19	19	10	20	20	12	
0	16	9	9	10	15	15	10	10	10	10	13	13	10	11	20	12	
0	6	9	21	21	21	21	21	21	21	21	21	21	21	11	5	12	
0	6	9	21	2	2	2	2	2	2	2	2	2	21	11	5	12	
0	6	9	21	2	22	22	22	22	22	22	22	2	21	11	5	12	
0	6	9	21	2	22	3	4	4	4	3	22	2	21	11	5	12	
0	6	9	21	2	22	3	4	4	4	3	22	2	21	11	5	12	
0	6	9	21	2	22	3	4	4	4	3	22	2	21	11	5	12	
0	6	9	21	2	22	3	23	23	23	3	22	2	21	11	5	12	
0	6	9	21	2	22	3	3	3	3	3	22	2	21	11	5	12	
0	6	9	21	2	22	22	22	22	22	22	22	2	21	11	5	12	
0	6	9	21	2	2	2	2	2	2	2	2	2	21	11	5	12	
0	24	9	21	21	7	25	7	7	7	7	7	21	21	11	5	12	
0	24	9	9	9	7	1	7	8	8	8	7	11	11	11	26	12	
0	24	24	24	24	7	7	7	27	27	27	7	7	7	7	26	12	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	12	
1	.	.	.	.	.	2	.	0	.	.	.	2	.	.	.	1	
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
.	2	.	0	.	.	.	.	2	.	.	.	.	2	.	.	.	
.	.	.	3	.	.	.	.	.	.	.	.	1	.	.	1	.	
.	.	.	.	.	2	1	0	.	.	.	0	3	.	3	.	0	
.	1	.	.	.	.	3	.	.	2	.	.	2	.	.	0	.	
.	0	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	
.	.	.	.	.	.	.	2	.	2	.	.	0	.	.	.	.	
0	.	.	3	.	.	.	.	3	.	.	.	.	.	.	.	2	
.	.	.	.	.	.	.	2	.	2	.	.	.	.	.	1	.	
1	.	.	1	.	.	.	3	.	.	3	.	.	3	.	.	.	
.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
.	0	.	.	3	.	1	.	.	.	.	0	.	.	3	.	1	
0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
.	.	2	1	.	.	3	.	.	1	.	.	0	.	.	0	.	
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
1	3	.	.	1	.	.	.	2	.	.	.	3	.	0	.	1	
3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	
