10x10 4 4
0	0	0	1	1	1	1	7	7	7	
0	0	0	1	1	1	1	7	7	7	
0	0	0	1	1	1	1	7	7	7	
3	3	3	8	8	8	8	2	2	2	
3	3	3	8	8	8	8	2	2	2	
3	3	3	8	8	8	8	2	2	2	
3	3	3	8	8	8	8	2	2	2	
4	4	4	5	5	5	5	6	6	6	
4	4	4	5	5	5	5	6	6	6	
4	4	4	5	5	5	5	6	6	6	
.	.	2	.	3	.	3	.	.	3	
2	.	3	0	.	3	.	0	.	2	
0	3	.	.	2	.	1	.	.	0	
.	.	2	0	.	.	2	1	.	.	
0	.	.	1	0	1	3	0	.	1	
3	1	3	.	0	.	.	.	.	3	
2	0	.	1	.	2	3	1	1	.	
1	.	0	.	1	.	.	2	.	.	
.	2	.	2	0	2	0	.	2	3	
.	1	.	.	3	.	.	.	1	.	
-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	3	-	-	
-	-	-	-	-	-	-	-	-	-	
-	-	1	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	-	-	-	
-	-	-	-	-	-	-	0	-	-	
-	-	-	-	-	-	-	-	-	-	
-	-	-	-	2	-	-	-	-	-	
